,freq_MHz,single_I0,single_I0_err,single_x0,single_x0_err,single_y0,single_y0_err,single_wx,single_wx_err,single_wy,single_wy_err,single_theta,single_theta_err,start_amp_0,multi_0_I0,multi_0_I0_err,multi_0_x0,multi_0_x0_err,multi_0_y0,multi_0_y0_err,multi_0_wx,multi_0_wx_err,multi_0_wy,multi_0_wy_err,multi_0_theta,multi_0_theta_err,multi_0_sum,start_amp_1,multi_1_I0,multi_1_I0_err,multi_1_x0,multi_1_x0_err,multi_1_y0,multi_1_y0_err,multi_1_wx,multi_1_wx_err,multi_1_wy,multi_1_wy_err,multi_1_theta,multi_1_theta_err,multi_1_sum,start_amp_2,multi_2_I0,multi_2_I0_err,multi_2_x0,multi_2_x0_err,multi_2_y0,multi_2_y0_err,multi_2_wx,multi_2_wx_err,multi_2_wy,multi_2_wy_err,multi_2_theta,multi_2_theta_err,multi_2_sum,start_amp_3,multi_3_I0,multi_3_I0_err,multi_3_x0,multi_3_x0_err,multi_3_y0,multi_3_y0_err,multi_3_wx,multi_3_wx_err,multi_3_wy,multi_3_wy_err,multi_3_theta,multi_3_theta_err,multi_3_sum,start_amp_4,multi_4_I0,multi_4_I0_err,multi_4_x0,multi_4_x0_err,multi_4_y0,multi_4_y0_err,multi_4_wx,multi_4_wx_err,multi_4_wy,multi_4_wy_err,multi_4_theta,multi_4_theta_err,multi_4_sum,start_amp_5
0,106.0,905.0,2.0,105.91,0.03,98.02,0.03,33.99,0.06,34.81,0.06,0.23,0.05,0.25,562.0,2.0,106.85000000000001,0.06,98.87,0.07,33.800000000000004,0.1,39.400000000000006,0.1,0.02,0.02,1196234.0,0.2504506137185378,565.0,2.0,105.93,0.06,99.17,0.07,34.2,0.1,40.1,0.1,-0.03,0.01,1225039.0,0.25535237600986826,591.0,2.0,106.02,0.05,99.37,0.06,33.6,0.1,39.800000000000004,0.1,-0.04,0.01,1254517.0,0.25334945695588873,582.0,2.0,106.05,0.05,99.42,0.06,33.5,0.1,40.1,0.1,-0.04,0.01,1237975.0,0.25513800795957664,588.0,2.0,106.03,0.05,99.27,0.06,33.5,0.1,39.800000000000004,0.1,-0.04,0.01,1244068.0,0.2540996375595746
1,104.0,935.0,2.0,107.09,0.03,167.97,0.03,33.8,0.06,36.46,0.07,-0.2,0.02,0.25,597.0,2.0,107.34,0.06,167.51,0.08,33.9,0.1,44.300000000000004,0.2,-0.037,0.009000000000000001,1412021.0,0.23576757941343085,570.0,2.0,106.3,0.06,167.69,0.09,33.7,0.1,47.6,0.2,-0.039,0.007,1414022.0,0.23827335494552726,588.0,2.0,106.26,0.06,167.85,0.09,33.6,0.1,47.300000000000004,0.2,-0.041,0.007,1447433.0,0.2376105442812442,573.0,2.0,106.13,0.06,167.93,0.09,33.7,0.1,48.0,0.2,-0.045,0.007,1433474.0,0.24304643455425948,595.0,2.0,106.13,0.06,167.85,0.08,33.6,0.1,46.6,0.2,-0.045,0.008,1451932.0,0.2392095422551811
2,102.0,945.0,1.0,106.97,0.03,245.72,0.03,34.0,0.05,36.26,0.06,-0.3,0.02,0.25,541.0,2.0,106.61,0.06,246.95000000000002,0.09,33.9,0.1,48.300000000000004,0.2,-0.023,0.007,1368073.0,0.2601723565800706,593.0,2.0,105.86,0.06,247.67000000000002,0.08,34.0,0.1,46.5,0.2,-0.026000000000000002,0.007,1463115.0,0.252739259177195,572.0,2.0,105.71000000000001,0.06,248.0,0.08,33.7,0.1,47.6,0.2,-0.019,0.007,1428366.0,0.25908617223299074,599.0,2.0,105.51,0.06,248.11,0.08,33.7,0.1,46.5,0.2,-0.019,0.007,1467482.0,0.2535102827389081,578.0,2.0,105.53,0.06,247.97,0.08,33.6,0.1,47.1,0.2,-0.019,0.007,1425910.0,0.25684667769423036
3,100.0,814.0,1.0,106.55,0.03,318.29,0.04,34.24,0.06,39.82,0.07,-0.198,0.009000000000000001,0.25,555.0,2.0,106.44,0.05,317.28000000000003,0.07,33.63,0.1,44.800000000000004,0.1,-0.092,0.007,1277726.0,0.2536094502879607,576.0,2.0,105.17,0.05,318.09000000000003,0.07,33.7,0.1,44.400000000000006,0.1,-0.078,0.008,1331649.0,0.25363500986740944,595.0,2.0,105.32000000000001,0.05,318.42,0.07,33.4,0.1,44.1,0.1,-0.081,0.008,1357229.0,0.24995382652987633,590.0,2.0,105.38,0.06,318.42,0.07,33.5,0.1,44.2,0.2,-0.07200000000000001,0.008,1356771.0,0.24830527474725592,582.0,2.0,105.44,0.05,318.21,0.07,33.5,0.1,44.1,0.1,-0.075,0.008,1330279.0,0.24984414249101397
