,freq_MHz,single_I0,single_I0_err,single_x0,single_x0_err,single_y0,single_y0_err,single_wx,single_wx_err,single_wy,single_wy_err,single_theta,single_theta_err,start_amp_0,multi_0_I0,multi_0_I0_err,multi_0_x0,multi_0_x0_err,multi_0_y0,multi_0_y0_err,multi_0_wx,multi_0_wx_err,multi_0_wy,multi_0_wy_err,multi_0_theta,multi_0_theta_err,multi_0_sum,start_amp_1,multi_1_I0,multi_1_I0_err,multi_1_x0,multi_1_x0_err,multi_1_y0,multi_1_y0_err,multi_1_wx,multi_1_wx_err,multi_1_wy,multi_1_wy_err,multi_1_theta,multi_1_theta_err,multi_1_sum,start_amp_2,multi_2_I0,multi_2_I0_err,multi_2_x0,multi_2_x0_err,multi_2_y0,multi_2_y0_err,multi_2_wx,multi_2_wx_err,multi_2_wy,multi_2_wy_err,multi_2_theta,multi_2_theta_err,multi_2_sum,start_amp_3,multi_3_I0,multi_3_I0_err,multi_3_x0,multi_3_x0_err,multi_3_y0,multi_3_y0_err,multi_3_wx,multi_3_wx_err,multi_3_wy,multi_3_wy_err,multi_3_theta,multi_3_theta_err,multi_3_sum,start_amp_4,multi_4_I0,multi_4_I0_err,multi_4_x0,multi_4_x0_err,multi_4_y0,multi_4_y0_err,multi_4_wx,multi_4_wx_err,multi_4_wy,multi_4_wy_err,multi_4_theta,multi_4_theta_err,multi_4_sum,start_amp_5
0,106.0,457.8,0.8,105.87,0.03,99.49000000000001,0.03,33.84,0.06,35.47,0.06,0.04,0.03,0.2,331.0,1.0,108.09,0.07,99.78,0.09,34.1,0.1,44.1,0.2,-0.04,0.01,775336.0,0.19977071966670085,337.0,1.0,105.66,0.06,101.53,0.08,33.800000000000004,0.1,45.7,0.2,-0.057,0.008,794197.0,0.20032377666385132,335.0,1.0,105.09,0.06,102.33,0.08,33.4,0.1,45.5,0.2,-0.053,0.008,776250.0,0.20331433734894722,331.0,1.0,104.23,0.06,102.63,0.08,33.4,0.1,45.900000000000006,0.2,-0.048,0.008,770247.0,0.20657371647538925,360.0,1.0,104.12,0.05,101.88,0.07,33.300000000000004,0.1,43.5,0.1,-0.065,0.008,802680.0,0.20389990220674273
1,104.0,479.3,0.9,107.21000000000001,0.03,169.43,0.04,33.78,0.06,36.910000000000004,0.07,-0.21,0.02,0.2,351.0,1.0,108.37,0.06,168.12,0.08,33.9,0.1,48.7,0.2,-0.039,0.006,883972.0,0.1962854451991638,352.0,1.0,106.01,0.05,169.41,0.08,33.300000000000004,0.1,51.7,0.2,-0.039,0.005,910425.0,0.19427411251352628,352.0,1.0,105.13,0.05,170.20000000000002,0.09,33.300000000000004,0.1,52.0,0.2,-0.043000000000000003,0.005,914943.0,0.19426791667485716,385.0,1.0,104.73,0.05,170.26,0.08,33.1,0.1,49.6,0.2,-0.049,0.005,958192.0,0.1886332814446885,344.0,1.0,104.67,0.06,169.65,0.1,33.0,0.1,52.6,0.2,-0.037,0.005,895146.0,0.1887484925078793
2,102.0,476.3,0.9,106.93,0.03,247.83,0.03,34.05,0.06,36.36,0.07,-0.22,0.02,0.2,384.0,1.0,107.84,0.05,248.5,0.07,34.2,0.1,44.2,0.1,-0.007,0.008,913735.0,0.1910648795924552,380.0,1.0,105.42,0.06,250.03,0.07,33.800000000000004,0.1,43.2,0.1,0.006,0.009000000000000001,889209.0,0.18481423602624394,380.0,1.0,104.67,0.06,250.78,0.07,33.5,0.1,42.7,0.2,0.018000000000000002,0.01,878922.0,0.18061311820135498,318.0,1.0,104.24000000000001,0.07,250.87,0.09,33.7,0.1,46.6,0.2,0.013000000000000001,0.008,790308.0,0.18572766996613801,353.0,1.0,104.02,0.06,251.19,0.08,33.6,0.1,45.800000000000004,0.2,0.006,0.008,859522.0,0.18440678804307195
3,100.0,424.8,0.7000000000000001,107.23,0.03,319.45,0.03,39.0,0.07,34.18,0.06,-331603.15,0.009000000000000001,0.2,242.0,1.0,107.57000000000001,0.09,312.1,0.30000000000000004,84.2,0.7000000000000001,33.5,0.2,-331602.977,0.004,893864.0,0.21945001884908227,283.0,2.0,105.11,0.09,315.90000000000003,0.2,72.9,0.5,33.2,0.2,-331602.978,0.005,970083.0,0.2318939013897696,311.0,2.0,104.46000000000001,0.09,317.8,0.2,67.5,0.4,33.2,0.2,-331602.978,0.005,1027352.0,0.24066346137115646,325.0,2.0,103.81,0.08,319.6,0.1,58.5,0.30000000000000004,33.2,0.2,-331602.984,0.006,987656.0,0.24586720610403287,339.0,2.0,103.72,0.08,318.70000000000005,0.2,60.800000000000004,0.30000000000000004,33.1,0.2,-331602.985,0.006,1044770.0,0.24710037326450665
4,98.0,528.3000000000001,0.7000000000000001,107.26,0.02,395.38,0.02,32.75,0.05,34.24,0.05,-287485.83,0.02,0.2,331.0,1.0,107.53,0.06,395.78000000000003,0.06,39.300000000000004,0.1,34.1,0.1,-287485.53,0.02,715226.0,0.19977071966670085,334.0,1.0,105.14,0.06,396.46000000000004,0.07,41.2,0.1,33.5,0.1,-287485.60000000003,0.01,739270.0,0.20086188289772808,363.0,1.0,104.39,0.06,397.04,0.07,40.900000000000006,0.1,33.6,0.1,-287485.60000000003,0.01,797278.0,0.19900981233834916,345.0,1.0,103.86,0.06,397.26,0.07,41.1,0.1,33.4,0.1,-287485.59,0.01,759887.0,0.19970282912436205,327.0,1.0,103.78,0.06,397.37,0.08,41.900000000000006,0.2,33.4,0.1,-287485.59,0.01,734959.0,0.20288624126665117
5,96.0,455.20000000000005,0.8,107.48,0.03,466.77,0.03,34.83,0.06,36.39,0.06,-0.26,0.03,0.2,323.0,1.0,107.57000000000001,0.06,466.82,0.08,34.300000000000004,0.1,46.5,0.2,-0.029,0.008,809886.0,0.20124239422361576,327.0,1.0,105.04,0.06,467.86,0.08,33.9,0.1,49.400000000000006,0.2,-0.04,0.006,845281.0,0.2036314178416627,324.0,1.0,104.19,0.06,468.14,0.09,33.7,0.1,51.2,0.2,-0.036000000000000004,0.006,856283.0,0.20875180064826293,334.0,1.0,103.83,0.06,468.34000000000003,0.09,33.4,0.1,49.6,0.2,-0.039,0.006,858029.0,0.21152502060492295,362.0,1.0,103.75,0.06,468.5,0.08,33.5,0.1,46.900000000000006,0.2,-0.05,0.007,891797.0,0.20844039120588762
6,94.0,448.20000000000005,0.8,107.14,0.03,543.37,0.03,34.69,0.06,36.81,0.07,197561.62,0.02,0.2,347.0,1.0,106.84,0.06,544.34,0.07,34.800000000000004,0.1,46.0,0.2,197562.138,0.008,869547.0,0.1969615212172605,362.0,1.0,104.17,0.06,545.71,0.08,34.1,0.1,45.1,0.2,197562.13700000002,0.008,882432.0,0.1933118397674096,367.0,1.0,103.41,0.06,546.5,0.08,33.9,0.1,44.6,0.2,197562.142,0.009000000000000001,887652.0,0.19090072730127594,361.0,1.0,102.93,0.06,546.5,0.08,33.800000000000004,0.1,45.5,0.2,197562.143,0.008,881190.0,0.1889778388911303,345.0,1.0,102.78,0.06,546.01,0.08,33.7,0.1,46.1,0.2,197562.13700000002,0.008,846250.0,0.18892866439022102
7,92.0,490.90000000000003,0.7000000000000001,107.04,0.03,615.67,0.03,34.61,0.05,36.37,0.05,-0.46,0.02,0.2,356.0,1.0,106.88,0.05,614.95,0.06,34.4,0.1,40.2,0.1,-0.07,0.01,781278.0,0.19545430158502056,368.0,1.0,104.22,0.06,616.3000000000001,0.07,34.1,0.1,39.800000000000004,0.1,-0.07,0.02,804374.0,0.1908888328998083,409.0,1.0,103.58,0.06,617.38,0.07,34.0,0.1,38.5,0.1,-0.09,0.02,871079.0,0.18247882611579605,417.0,1.0,103.07000000000001,0.06,617.57,0.07,33.9,0.1,38.5,0.1,-0.08,0.02,885517.0,0.17299243738933576,328.0,1.0,102.87,0.07,616.98,0.08,34.0,0.1,40.900000000000006,0.2,-0.07,0.02,735315.0,0.17558914711503976
